"Time stamp","Estimate rec. thermal power TO HTF | (MWt)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Field optical efficiency before defocus"
"Jan 9, 01:00 pm",233.865,195.309,60.9711,0.572787
"Jan 9, 02:00 pm",283.996,210.005,65.5594,0.616611
"Jan 9, 03:00 pm",320.818,222.822,72.6175,0.65711
"Jan 9, 04:00 pm",49.5571,233.793,81.4561,0.194086
"Jan 9, 05:00 pm",39.5644,243.315,91.7118,0
"Jan 9, 06:00 pm",28.9736,251.896,102.709,0
"Jan 9, 07:00 pm",17.4164,260.087,114.247,0
"Jan 9, 08:00 pm",0,268.558,126.079,0
"Jan 9, 09:00 pm",0,278.366,137.946,0
"Jan 9, 10:00 pm",0,291.747,149.437,0
"Jan 9, 11:00 pm",0,314.605,159.469,0
"Jan 10, 12:00 am",0,357.839,164.493,0
"Jan 10, 01:00 am",0,42.6841,160.146,0
"Jan 10, 02:00 am",0,66.8055,150.336,0
"Jan 10, 03:00 am",0,80.6575,138.903,0
"Jan 10, 04:00 am",0,90.6447,127.041,0
"Jan 10, 05:00 am",0,99.1734,115.189,0
"Jan 10, 06:00 am",0,107.355,103.608,0
"Jan 10, 07:00 am",0,115.877,92.5424,0
"Jan 10, 08:00 am",0,125.298,82.1756,0
"Jan 10, 09:00 am",0,136.132,73.2021,0.657691
"Jan 10, 10:00 am",0,148.796,65.9492,0.621703
"Jan 10, 11:00 am",0,163.372,61.1096,0.577473
"Jan 10, 12:00 pm",22.3174,179.274,59.3021,0.554567
"Jan 10, 01:00 pm",24.5212,195.243,60.8047,0.573779
"Jan 10, 02:00 pm",41.9183,209.982,65.3845,0.61712
"Jan 10, 03:00 pm",34.6201,222.833,72.4418,0.657361
"Jan 10, 04:00 pm",32.3123,233.83,81.2853,0.201476
"Jan 10, 05:00 pm",24.3082,243.37,91.5436,0
"Jan 10, 06:00 pm",11.9543,251.966,102.546,0
"Jan 10, 07:00 pm",0,260.172,114.088,0
"Jan 10, 08:00 pm",0,268.659,125.921,0
"Jan 10, 09:00 pm",0,278.484,137.787,0
"Jan 10, 10:00 pm",0,291.873,149.271,0
"Jan 10, 11:00 pm",0,314.659,159.292,0
"Jan 11, 12:00 am",0,357.515,164.337,0
"Jan 11, 01:00 am",0,42.2029,160.075,0
"Jan 11, 02:00 am",0,66.447,150.313,0
"Jan 11, 03:00 am",0,80.3852,138.899,0
"Jan 11, 04:00 am",0,90.4201,127.04,0
"Jan 11, 05:00 am",0,98.9751,115.184,0
"Jan 11, 06:00 am",0,107.171,103.594,0
"Jan 11, 07:00 am",0,115.7,92.5144,0
"Jan 11, 08:00 am",0,125.123,82.1303,0
"Jan 11, 09:00 am",0,135.959,73.1324,0.658734
"Jan 11, 10:00 am",0,148.631,65.8513,0.62279
"Jan 11, 11:00 am",0,163.227,60.9816,0.579015
"Jan 11, 12:00 pm",163.439,179.166,59.1475,0.554991
"Jan 11, 01:00 pm",226.313,195.182,60.6322,0.574834
"Jan 11, 02:00 pm",275.457,209.965,65.2043,0.617674
"Jan 11, 03:00 pm",313.595,222.852,72.2618,0.657642
"Jan 11, 04:00 pm",55.723,233.873,81.1105,0.209093
"Jan 11, 05:00 pm",39.5554,243.432,91.3725,0
"Jan 11, 06:00 pm",28.9403,252.044,102.38,0
"Jan 11, 07:00 pm",17.3835,260.264,113.926,0
"Jan 11, 08:00 pm",0,268.768,125.761,0
"Jan 11, 09:00 pm",0,278.612,137.626,0
"Jan 11, 10:00 pm",0,292.012,149.103,0
"Jan 11, 11:00 pm",0,314.73,159.11,0
"Jan 12, 12:00 am",0,357.206,164.174,0
"Jan 12, 01:00 am",0,41.7185,159.995,0
"Jan 12, 02:00 am",0,66.0807,150.284,0
"Jan 12, 03:00 am",0,80.1057,138.888,0
"Jan 12, 04:00 am",0,90.1894,127.034,0
"Jan 12, 05:00 am",0,98.7716,115.173,0
"Jan 12, 06:00 am",0,106.982,103.574,0
"Jan 12, 07:00 am",0,115.518,92.4803,0
"Jan 12, 08:00 am",0,124.944,82.0772,0.174956
"Jan 12, 09:00 am",0,135.783,73.0549,0.640019
"Jan 12, 10:00 am",234.57,148.464,65.7452,0.623642
"Jan 12, 11:00 am",233.308,163.082,60.8457,0.581024
"Jan 12, 12:00 pm",208.46,179.059,58.9854,0.557709
"Jan 12, 01:00 pm",225.709,195.124,60.4529,0.575949
"Jan 12, 02:00 pm",270.222,209.954,65.0182,0.618275
"Jan 12, 03:00 pm",302.261,222.876,72.0769,0.657951
"Jan 12, 04:00 pm",53.5818,233.923,80.9316,0.216938
"Jan 12, 05:00 pm",39.5567,243.501,91.1985,0
"Jan 12, 06:00 pm",28.9276,252.128,102.212,0
"Jan 12, 07:00 pm",17.3454,260.364,113.762,0
"Jan 12, 08:00 pm",0,268.885,125.599,0
"Jan 12, 09:00 pm",0,278.749,137.462,0
"Jan 12, 10:00 pm",0,292.162,148.931,0
"Jan 12, 11:00 pm",0,314.816,158.924,0
"Jan 13, 12:00 am",0,356.912,164.003,0
"Jan 13, 01:00 am",0,41.2317,159.907,0
"Jan 13, 02:00 am",0,65.707,150.247,0
"Jan 13, 03:00 am",0,79.8193,138.871,0
"Jan 13, 04:00 am",0,89.9528,127.021,0
"Jan 13, 05:00 am",0,98.563,115.157,0
"Jan 13, 06:00 am",0,106.788,103.548,0
"Jan 13, 07:00 am",0,115.332,92.44,0
"Jan 13, 08:00 am",0,124.761,82.0189,0.176485
"Jan 13, 09:00 am",0,135.605,72.9714,0.641312
"Jan 13, 10:00 am",260.613,148.295,65.6328,0.624765
"Jan 13, 11:00 am",251.8,162.937,60.703,0.58259
"Jan 13, 12:00 pm",224.303,178.955,58.8166,0.559358
"Jan 13, 01:00 pm",242.436,195.07,60.2675,0.577122
"Jan 13, 02:00 pm",289.61,209.947,64.8269,0.61892
"Jan 13, 03:00 pm",329.249,222.906,71.8876,0.658289
"Jan 13, 04:00 pm",68.8264,233.979,80.749,0.225009
"Jan 13, 05:00 pm",40.1826,243.576,91.0218,0
"Jan 13, 06:00 pm",28.5343,252.219,102.042,0
"Jan 13, 07:00 pm",15.7266,260.471,113.597,0
"Jan 13, 08:00 pm",0,269.011,125.436,0
"Jan 13, 09:00 pm",0,278.895,137.297,0
"Jan 13, 10:00 pm",0,292.324,148.757,0
"Jan 13, 11:00 pm",0,314.917,158.735,0
"Jan 14, 12:00 am",0,356.633,163.826,0
"Jan 14, 01:00 am",0,40.7434,159.811,0
"Jan 14, 02:00 am",0,65.3264,150.204,0
"Jan 14, 03:00 am",0,79.5263,138.847,0
"Jan 14, 04:00 am",0,89.7105,127.002,0
"Jan 14, 05:00 am",0,98.3494,115.135,0
"Jan 14, 06:00 am",0,106.591,103.516,0
"Jan 14, 07:00 am",0,115.142,92.3937,0
"Jan 14, 08:00 am",0,124.576,81.9521,0.178259
"Jan 14, 09:00 am",0,135.423,72.8805,0.642771
"Jan 14, 10:00 am",261.722,148.125,65.513,0.625903
"Jan 14, 11:00 am",253.068,162.792,60.5531,0.584184
"Jan 14, 12:00 pm",225.929,178.853,58.641,0.561056
"Jan 14, 01:00 pm",246.206,195.021,60.076,0.578351
"Jan 14, 02:00 pm",296.441,209.947,64.6304,0.619609
"Jan 14, 03:00 pm",340.861,222.942,71.6941,0.658655
"Jan 14, 04:00 pm",79.7113,234.042,80.563,0.233306
"Jan 14, 05:00 pm",40.083,243.658,90.8424,0
"Jan 14, 06:00 pm",28.3823,252.317,101.869,0
"Jan 14, 07:00 pm",15.5424,260.586,113.429,0
"Jan 14, 08:00 pm",0,269.144,125.271,0
"Jan 14, 09:00 pm",0,279.051,137.129,0
"Jan 14, 10:00 pm",0,292.498,148.581,0
"Jan 14, 11:00 pm",0,315.032,158.541,0
"Jan 15, 12:00 am",0,356.37,163.641,0
"Jan 15, 01:00 am",0,40.2543,159.706,0
"Jan 15, 02:00 am",0,64.9392,150.153,0
"Jan 15, 03:00 am",0,79.2269,138.817,0
"Jan 15, 04:00 am",0,89.4626,126.977,0
"Jan 15, 05:00 am",0,98.131,115.106,0
"Jan 15, 06:00 am",0,106.389,103.478,0
"Jan 15, 07:00 am",0,114.949,92.3412,0
"Jan 15, 08:00 am",0,124.387,81.8802,0.180279
"Jan 15, 09:00 am",0,135.24,72.7832,0.644395
"Jan 15, 10:00 am",283.176,147.954,65.3866,0.627053
"Jan 15, 11:00 am",256.532,162.648,60.3965,0.585805
"Jan 15, 12:00 pm",227.636,178.753,58.4588,0.5628
"Jan 15, 01:00 pm",246.089,194.975,59.8786,0.579634
"Jan 15, 02:00 pm",293.182,209.951,64.4292,0.620341
"Jan 15, 03:00 pm",329.746,222.985,71.4969,0.659048
"Jan 15, 04:00 pm",79.8359,234.111,80.3745,0.241827
"Jan 15, 05:00 pm",40.1133,243.746,90.0612,0
"Jan 15, 06:00 pm",28.4615,252.422,101.695,0
"Jan 15, 07:00 pm",15.6687,260.708,113.26,0
"Jan 15, 08:00 pm",0,269.286,125.104,0
"Jan 15, 09:00 pm",0,279.216,136.96,0
"Jan 15, 10:00 pm",0,292.682,148.402,0
"Jan 15, 11:00 pm",0,315.162,158.343,0
"Jan 16, 12:00 am",0,356.122,163.45,0
"Jan 16, 01:00 am",0,39.7654,159.593,0
"Jan 16, 02:00 am",0,64.5459,150.095,0
"Jan 16, 03:00 am",0,78.9213,138.781,0
"Jan 16, 04:00 am",0,89.2093,126.947,0
"Jan 16, 05:00 am",0,97.9078,115.072,0
"Jan 16, 06:00 am",0,106.183,103.435,0
"Jan 16, 07:00 am",0,114.752,92.2826,0
"Jan 16, 08:00 am",0,124.195,81.8036,0.182548
"Jan 16, 09:00 am",0,135.054,72.6801,0.633179
"Jan 16, 10:00 am",282.527,147.781,65.2538,0.628215
"Jan 16, 11:00 am",257.923,162.503,60.2333,0.58745
"Jan 16, 12:00 pm",229.642,178.655,58.2704,0.564588
"Jan 16, 01:00 pm",247.587,194.934,59.6756,0.58097
"Jan 16, 02:00 pm",295.714,209.962,64.2232,0.621114
"Jan 16, 03:00 pm",335.371,223.034,71.2962,0.659469
