"Time stamp","System power generated | (kW)","Estimated receiver thermal power TO HTF | (MWt)","Resource beam normal irradiance | (W/m2)","Predicted clear-sky beam normal irradiance | (W/m2)"
"Jan 13, 12:00 pm",110541,606.899,940,0
"Jan 13, 01:00 pm",115202,0,218,0
"Jan 13, 02:00 pm",109587,0,940,0
"Jan 13, 03:00 pm",111367,555.404,897,0
"Jan 13, 04:00 pm",113044,444.54,812,0
"Jan 13, 05:00 pm",115369,219.278,619,0
"Jan 13, 06:00 pm",117087,0,0,0
"Jan 13, 07:00 pm",117215,0,0,0
"Jan 13, 08:00 pm",97216.6,0,0,0
"Jan 13, 09:00 pm",-607.2,0,0,0
"Jan 13, 10:00 pm",-607.2,0,0,0
"Jan 13, 11:00 pm",-607.2,0,0,0
"Jan 14, 12:00 am",-607.2,0,0,0
"Jan 14, 01:00 am",-607.2,0,0,0
"Jan 14, 02:00 am",-607.2,0,0,0
"Jan 14, 03:00 am",-607.2,0,0,0
"Jan 14, 04:00 am",-607.2,0,0,0
"Jan 14, 05:00 am",-607.2,0,0,0
"Jan 14, 06:00 am",-607.2,0,0,0
"Jan 14, 07:00 am",-607.2,0,0,0
"Jan 14, 08:00 am",-607.2,0,0,0
"Jan 14, 09:00 am",-607.2,0,546,0
"Jan 14, 10:00 am",6454.92,0,782,0
"Jan 14, 11:00 am",112628,542.277,884,0
"Jan 14, 12:00 pm",110698,605.335,939,0
"Jan 14, 01:00 pm",110246,623.827,954,0
"Jan 14, 02:00 pm",110440,613.162,947,0
"Jan 14, 03:00 pm",111343,566.703,912,0
"Jan 14, 04:00 pm",112963,460.32,834,0
"Jan 14, 05:00 pm",115381,239.161,657,0
"Jan 14, 06:00 pm",117293,0,0,0
"Jan 14, 07:00 pm",117465,0,0,0
"Jan 14, 08:00 pm",117415,0,0,0
"Jan 14, 09:00 pm",117350,0,0,0
"Jan 14, 10:00 pm",117255,0,0,0
"Jan 14, 11:00 pm",77772.6,0,0,0
"Jan 15, 12:00 am",-607.2,0,0,0
"Jan 15, 01:00 am",-607.2,0,0,0
"Jan 15, 02:00 am",-607.2,0,0,0
"Jan 15, 03:00 am",-607.2,0,0,0
"Jan 15, 04:00 am",-607.2,0,0,0
"Jan 15, 05:00 am",-607.2,0,0,0
"Jan 15, 06:00 am",-607.2,0,0,0
"Jan 15, 07:00 am",-607.2,0,0,0
"Jan 15, 08:00 am",-607.2,0,0,0
"Jan 15, 09:00 am",-3508.9,0,612,0
"Jan 15, 10:00 am",67447.5,437.073,815,0
"Jan 15, 11:00 am",112431,554.127,899,0
"Jan 15, 12:00 pm",110570,608.395,940,0
"Jan 15, 01:00 pm",110148,622.702,948,0
"Jan 15, 02:00 pm",110359,609.438,937,0
"Jan 15, 03:00 pm",111271,560.815,898,0
"Jan 15, 04:00 pm",116540,0,261,0
"Jan 15, 05:00 pm",114704,0,628,0
"Jan 15, 06:00 pm",117333,0,0,0
"Jan 15, 07:00 pm",117483,0,0,0
"Jan 15, 08:00 pm",117393,0,0,0
"Jan 15, 09:00 pm",88391.6,0,0,0
"Jan 15, 10:00 pm",-607.2,0,0,0
"Jan 15, 11:00 pm",-607.2,0,0,0
"Jan 16, 12:00 am",-607.2,0,0,0
"Jan 16, 01:00 am",-607.2,0,0,0
"Jan 16, 02:00 am",-607.2,0,0,0
"Jan 16, 03:00 am",-607.2,0,0,0
"Jan 16, 04:00 am",-607.2,0,0,0
"Jan 16, 05:00 am",-607.2,0,0,0
"Jan 16, 06:00 am",-607.2,0,0,0
"Jan 16, 07:00 am",-607.2,0,0,0
"Jan 16, 08:00 am",-607.2,0,0,0
"Jan 16, 09:00 am",-3509.74,0,602,0
"Jan 16, 10:00 am",67475.5,435.541,806,0
"Jan 16, 11:00 am",111544,552.88,891,0
"Jan 16, 12:00 pm",110260,607.464,933,0
"Jan 16, 01:00 pm",109780,621.883,942,0
"Jan 16, 02:00 pm",109941,609.941,933,0
"Jan 16, 03:00 pm",110825,563.848,898,0
"Jan 16, 04:00 pm",112624,454.384,813,0
"Jan 16, 05:00 pm",114598,239.524,636,0
"Jan 16, 06:00 pm",117356,0,0,0
"Jan 16, 07:00 pm",117535,0,0,0
"Jan 16, 08:00 pm",117491,0,0,0
"Jan 16, 09:00 pm",117431,0,0,0
"Jan 16, 10:00 pm",117345,0,0,0
"Jan 16, 11:00 pm",107339,0,0,0
"Jan 17, 12:00 am",-607.2,0,0,0
"Jan 17, 01:00 am",-607.2,0,0,0
"Jan 17, 02:00 am",-607.2,0,0,0
"Jan 17, 03:00 am",-607.2,0,0,0
"Jan 17, 04:00 am",-607.2,0,0,0
"Jan 17, 05:00 am",-607.2,0,0,0
"Jan 17, 06:00 am",-607.2,0,0,0
"Jan 17, 07:00 am",-607.2,0,0,0
"Jan 17, 08:00 am",-607.2,0,0,0
"Jan 17, 09:00 am",-3499.26,0,589,0
"Jan 17, 10:00 am",66289.6,423.071,781,0
"Jan 17, 11:00 am",111412,541.194,871,0
"Jan 17, 12:00 pm",110018,595.273,914,0
"Jan 17, 01:00 pm",109477,611.727,927,0
"Jan 17, 02:00 pm",109657,599.603,918,0
"Jan 17, 03:00 pm",110654,552.713,881,0
"Jan 17, 04:00 pm",112524,445.144,795,0
"Jan 17, 05:00 pm",114512,236.931,621,0
